area_title,ai_emp_24,total_emp_24,ai_per_1000_24,ai_emp_25,total_emp_25,ai_per_1000_25,delta_emp,pct_change_emp,delta_per_1000
"Kalamazoo-Portage, MI",140.0,119780.0,1.1688094840540992,150.0,121790.0,1.231628212496921,10.0,7.142857142857142,0.06281872844282166
"Sioux Falls, SD-MN",410.0,174730.0,2.346477422308705,150.0,178590.0,0.8399126490844951,-260.0,-63.41463414634146,-1.50656477322421
"Toledo, OH",160.0,291660.0,0.5485839676335459,150.0,291530.0,0.5145268068466367,-10.0,-6.25,-0.034057160786909235
"Erie, PA",150.0,119610.0,1.254075746175069,140.0,120480.0,1.1620185922974768,-10.0,-6.666666666666667,-0.09205715387759206
"Ithaca, NY",150.0,48030.0,3.123048094940662,140.0,47980.0,2.9178824510212586,-10.0,-6.666666666666667,-0.20516564391940317
"Binghamton, NY",100.0,96360.0,1.03777501037775,140.0,97030.0,1.4428527259610429,40.0,40.0,0.40507771558329275
"Columbus, GA-AL",100.0,116210.0,0.8605111436193099,140.0,116380.0,1.2029558343357964,40.0,40.0,0.34244469071648653
"Evansville, IN",130.0,134960.0,0.9632483698873741,140.0,135250.0,1.0351201478743068,10.0,7.6923076923076925,0.07187177798693278
"South Bend-Mishawaka, IN-MI",120.0,131060.0,0.9156111704562796,130.0,131670.0,0.9873167767904609,10.0,8.333333333333332,0.07170560633418133
"McAllen-Edinburg-Mission, TX",100.0,290580.0,0.34413930759171313,130.0,296700.0,0.4381530165149983,30.0,30.0,0.09401370892328514
"Little Rock-North Little Rock-Conway, AR",150.0,352900.0,0.42504958911873053,130.0,358210.0,0.3629156081628095,-20.0,-13.333333333333334,-0.06213398095592104
"Pensacola-Ferry Pass-Brent, FL",110.0,188880.0,0.5823803473104617,130.0,190480.0,0.6824863502729945,20.0,18.181818181818183,0.1001060029625328
"Asheville, NC",70.0,187430.0,0.3734727631649149,130.0,180620.0,0.7197431070756284,60.0,85.71428571428571,0.3462703439107135
"Cape Coral-Fort Myers, FL",160.0,300380.0,0.5326586323989613,130.0,304790.0,0.42652317989435345,-30.0,-18.75,-0.10613545250460782
"Santa Rosa-Petaluma, CA",110.0,204980.0,0.5366377207532442,130.0,205260.0,0.6333430770729805,20.0,18.181818181818183,0.09670535631973631
"York-Hanover, PA",130.0,183070.0,0.71011088654613,130.0,183590.0,0.7080995696933384,0.0,0.0,-0.002011316852791545
"Anchorage, AK",130.0,174740.0,0.7439624585097859,120.0,177050.0,0.6777746399322225,-10.0,-7.6923076923076925,-0.0661878185775634
"Olympia-Lacey-Tumwater, WA",110.0,127360.0,0.8636934673366835,120.0,130300.0,0.920951650038373,10.0,9.090909090909092,0.057258182701689475
"Jefferson City, MO",60.0,78020.0,0.7690335811330429,120.0,80220.0,1.4958863126402393,60.0,100.0,0.7268527315071964
"Flint, MI",70.0,133920.0,0.522700119474313,110.0,135040.0,0.8145734597156398,40.0,57.14285714285714,0.2918733402413267
"College Station-Bryan, TX",100.0,132440.0,0.7550588945937784,110.0,134040.0,0.8206505520740077,10.0,10.0,0.06559165748022933
"Florence, SC",90.0,89940.0,1.0006671114076051,110.0,89060.0,1.2351223894004042,20.0,22.22222222222222,0.23445527799279908
