area,ai_emp,total_emp,ai_per_1000
"Kenosha, WI",50.0,74050.0,0.675219446320054
"Abilene, TX",50.0,74090.0,0.6748549061951681
"Blacksburg-Christiansburg-Radford, VA",50.0,74400.0,0.6720430107526882
"Niles, MI",40.0,59670.0,0.6703536115300821
"Cape Girardeau, MO-IL",30.0,44760.0,0.6702412868632708
"Greensboro-High Point, NC",240.0,358650.0,0.6691760769552488
"Sioux City, IA-NE-SD",50.0,75270.0,0.6642752756742394
"Sheboygan, WI",40.0,60670.0,0.6593044338223175
"Charleston, WV",70.0,106820.0,0.6553079947575361
"Amarillo, TX",80.0,122390.0,0.6536481738704142
"Augusta-Richmond County, GA-SC",150.0,229650.0,0.6531678641410843
"Appleton, WI",80.0,123920.0,0.6455777921239509
"Hickory-Lenoir-Morganton, NC",100.0,155050.0,0.6449532408900355
"Barnstable Town, MA",60.0,93510.0,0.6416426050689765
"Macon-Bibb County, GA",60.0,95070.0,0.6311139160618492
"Terre Haute, IN",40.0,64580.0,0.6193868070610096
"Lynchburg, VA",60.0,97210.0,0.6172204505709289
"Greenville, NC",50.0,81410.0,0.6141751627564181
"Flagstaff, AZ",40.0,65850.0,0.6074411541381929
"Grand Junction, CO",40.0,66890.0,0.5979967110180894
"Knoxville, TN",250.0,418120.0,0.5979144743135942
"Glens Falls, NY",30.0,50290.0,0.5965400676078744
"Chattanooga, TN-GA",160.0,269330.0,0.5940667582519585
"Dover, DE",40.0,68450.0,0.5843681519357194
"Springfield, IL",60.0,102720.0,0.5841121495327103
"Pensacola-Ferry Pass-Brent, FL",110.0,188880.0,0.5823803473104617
"State College, PA",40.0,68760.0,0.5817335660267597
"Riverside-San Bernardino-Ontario, CA",980.0,1695430.0,0.5780244539733284
"Joplin, MO-KS",50.0,86790.0,0.5761032377001959
"Redding, CA",40.0,69620.0,0.5745475438092502
"Laredo, TX",60.0,106130.0,0.5653443889569396
"Duluth, MN-WI",70.0,124530.0,0.5621135469364812
"Toledo, OH",160.0,291660.0,0.5485839676335459
"Spokane-Spokane Valley, WA",140.0,255370.0,0.5482241453577162
"Santa Rosa-Petaluma, CA",110.0,204980.0,0.5366377207532442
"Cape Coral-Fort Myers, FL",160.0,300380.0,0.5326586323989613
"Wichita Falls, TX",30.0,56710.0,0.5290072297654734
"Fayetteville, NC",70.0,132690.0,0.5275454065867812
"Flint, MI",70.0,133920.0,0.522700119474313
"Racine-Mount Pleasant, WI",40.0,76560.0,0.5224660397074191
"Chico, CA",40.0,78260.0,0.5111167901865576
"Longview, TX",60.0,117650.0,0.509987250318742
"Napa, CA",40.0,78480.0,0.5096839959225281
"Eugene-Springfield, OR",80.0,157600.0,0.5076142131979696
"Beaumont-Port Arthur, TX",80.0,158920.0,0.5033979360684622
"Rockford, IL",70.0,139310.0,0.5024764912784437
"San Luis Obispo-Paso Robles, CA",60.0,121040.0,0.49570389953734306
"Lafayette-West Lafayette, IN",50.0,102060.0,0.48990789731530465
"Vallejo, CA",70.0,142930.0,0.4897502273840342
"Gainesville, GA",50.0,102560.0,0.4875195007800312
"Lubbock, TX",80.0,165480.0,0.48344210780759006
"Roanoke, VA",70.0,152120.0,0.4601630291874836
"Medford, OR",40.0,88610.0,0.451416318699921
"Bellingham, WA",40.0,90970.0,0.4397053973837529
"New Orleans-Metairie, LA",190.0,441250.0,0.43059490084985835
"Salem, OR",80.0,186340.0,0.4293227433723302
"Montgomery, AL",70.0,163140.0,0.42907931837685426
"Little Rock-North Little Rock-Conway, AR",150.0,352900.0,0.42504958911873053
"Killeen-Temple, TX",60.0,148640.0,0.40365984930032295
"Memphis, TN-MS-AR",250.0,620100.0,0.40316078051927107
"Norwich-New London-Willimantic, CT",50.0,124550.0,0.4014452027298274
"Clarksville, TN-KY",40.0,100910.0,0.39639282528986225
"Fresno, CA",180.0,470480.0,0.38258799523890497
"Hagerstown-Martinsburg, MD-WV",40.0,105920.0,0.3776435045317221
"Asheville, NC",70.0,187430.0,0.3734727631649149
"Canton-Massillon, OH",60.0,165140.0,0.36332808526099064
"Stockton-Lodi, CA",100.0,286420.0,0.3491376300537672
"McAllen-Edinburg-Mission, TX",100.0,290580.0,0.34413930759171313
"Ocala, FL",40.0,118840.0,0.3365870077415012
"Deltona-Daytona Beach-Ormond Beach, FL",70.0,217920.0,0.3212187958883994
"Billings, MT",30.0,93790.0,0.31986352489604436
"Youngstown-Warren, OH",50.0,160480.0,0.3115653040877368
"Modesto, CA",60.0,194560.0,0.30838815789473684
"Jackson, MS",80.0,268750.0,0.29767441860465116
"Mobile, AL",50.0,169130.0,0.295630580027198
"Visalia, CA",50.0,170070.0,0.2939965896395602
"Naples-Marco Island, FL",50.0,171160.0,0.2921243281140453
"Huntington-Ashland, WV-KY-OH",40.0,140160.0,0.28538812785388123
"Myrtle Beach-Conway-North Myrtle Beach, SC",40.0,144400.0,0.2770083102493075
"Salinas, CA",50.0,186110.0,0.26865832034818116
"Port St. Lucie, FL",40.0,167590.0,0.23867772540127694
"Wichita, KS",60.0,306950.0,0.19547157517510994
"San Juan-Bayamon-Caguas, PR",80.0,691660.0,0.1156637654338837
"Salt Lake City-Murray, UT",80.0,816680.0,0.09795758436596953
"North Port-Bradenton-Sarasota, FL",0.0,334550.0,0.0
"Hilton Head Island-Bluffton-Port Royal, SC",0.0,81820.0,0.0
